Id,Label,Interval,Modularity Class,Mitglieder_22,Mitglieder_23,Eingangsgrad,Ausgangsgrad,Grad,Betweenness Centrality
freiesachsen,freiesachsen,,4,148261,151168,82,33,115,6054.561636501812
xavier_naidoo,xavier_naidoo,,1,94788,62421,8,12,20,1002.1891257201072
martinsellnerib,martinsellnerib,,5,64476,58390,53,25,78,3830.39770513182
compactmagazin,compactmagazin,,4,60257,55568,54,12,66,737.7707776405081
nachrichtenportal,nachrichtenportal,,2,39426,36421,16,1,17,0.0
bjoernhoeckeafd,bjoernhoeckeafd,,2,17579,22456,35,7,42,356.5230344201767
anastasiaaudio,anastasiaaudio,,1,19828,22010,2,1,3,0.0
ein_prozent,ein_prozent,,2,12707,13808,72,9,81,1937.6415689770156
er_volkslehrer,er_volkslehrer,,1,7357,12852,15,30,45,2613.5700555356616
expedition_avantura,expedition_avantura,,3,2447,1956,6,22,28,805.8341542977203
tommyfrenck,tommyfrenck,,0,9918,11492,14,0,14,0.0
martinsellnervideos,martinsellnervideos,,5,10232,10729,24,8,32,133.6710995315514
lutzbachmann,lutzbachmann,,2,8868,9696,13,29,42,839.35328693678
insvenswelt,insvenswelt,,2,10378,9201,14,22,36,546.8115254397409
freie_erzgebirger,freie_erzgebirger,,4,9578,8826,17,7,24,25.498422886196877
derdritteweg,derdritteweg,,3,7099,8223,34,14,48,2819.498861174646
kategoriec_support,kategoriec_support,,0,7778,7511,20,25,45,1545.6609624351545
martinkohlmann,martinkohlmann,,4,9123,7479,17,3,20,4.057774157688346
identitaeredeutschland,identitaeredeutschland,,5,8046,7399,6,10,16,9.764285714285716
fsnrev,fsnrev,,0,6328,6647,30,33,63,986.9314420631521
derdritteblickwinkel,derdritteblickwinkel,,0,6705,6441,34,18,52,333.4158340702392
pcrecords,pcrecords,,0,5215,5728,32,50,82,2782.7707215062846
zusammenruecken,zusammenruecken,,0,5339,5318,22,4,26,58.1912149378997
stuerzenberger,stuerzenberger,,2,1786,5178,12,2,14,153.90685213217859
pinews1,pinews1,,2,5253,5137,11,6,17,70.45292455741591
freiesachsen_dresden,freiesachsen_dresden,,4,5496,5123,24,24,48,309.83451048157275
hermannsland,hermannsland,,0,4592,4968,13,7,20,81.69907678875768
freie_mittelsachsen,freie_mittelsachsen,,4,5643,4966,15,24,39,224.0354079563271
einedeutschefrau,einedeutschefrau,,1,4024,4965,13,4,17,555.2698278207089
einzelkaempfer1,einzelkaempfer1,,0,355,496,5,13,18,43.999004464602784
sturmzeichen,sturmzeichen,,0,3307,4923,44,47,91,3047.9693654785497
kdn2013,kdn2013,,0,3152,4891,26,12,38,358.3706908028381
oposrecords,oposrecords,,0,4418,4626,17,10,27,119.8877771267003
pegidaoriginal,pegidaoriginal,,2,4646,4479,11,30,41,1406.290371422659
sleipnir_offiziell,sleipnir_offiziell,,0,3779,4429,11,0,11,0.0
balaclavagraphics,balaclavagraphics,,0,2786,4036,35,20,55,669.3857568757043
rockhate,rockhate,,0,3243,3974,33,73,106,5512.169794867255
dortmundsrechte,dortmundsrechte,,0,3284,3937,30,28,58,875.7392916342534
freie_ostsachsen,freie_ostsachsen,,4,3940,3838,16,15,31,136.75798058049014
freiesachsenle,freiesachsenle,,4,4116,3799,12,7,19,7.124480804697359
deutschestimmemagazin,deutschestimmemagazin,,0,3399,3612,40,25,65,1212.904259687728
atahdm,atahdm,,1,0,3338,4,3,7,176.2047295678178
prochemnitz,prochemnitz,,4,3131,3126,16,11,27,527.6699569750789
jungenationalisten,jungenationalisten,,0,1949,3068,40,21,61,1767.9933762894616
compactmagazintv,compactmagazintv,,4,2196,3061,12,6,18,20.76398391121156
prototelegram,prototelegram,,2,3052,3039,26,13,39,424.22227383024597
freiesachsenzwickau,freiesachsenzwickau,,4,3047,2981,13,26,39,541.5000098341192
widerstandinbewegung,widerstandinbewegung,,5,2792,2862,17,6,23,215.38048790577517
hartungstefan,hartungstefan,,4,2708,2757,17,3,20,94.50616114833697
xntelegramfuerx,xntelegramfuerx,,1,3662,2651,4,13,17,17.255680940595127
runatelegram,runatelegram,,4,2268,2611,30,32,62,1758.1645035069048
swkanal,swkanal,,0,2549,2587,7,36,43,93.17276673566657
oldschoolrecord,oldschoolrecord,,0,1415,2475,7,9,16,98.08983044733046
gegenuni,gegenuni,,5,2491,2461,10,0,10,0.0
freie_brandenburger,freie_brandenburger,,2,2633,2440,2,5,7,0.0
artgemeinschaft,artgemeinschaft,,1,1825,2417,3,2,5,0.0
michaelbrueck90,michaelbrueck90,,4,672,2370,39,2,41,87.5475051832002
freiesachsen_vogtl,freiesachsen_vogtl,,4,2396,2357,7,8,15,12.795473312205887
